yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
245,10.192272727272726,10.257,0.35640569325112903,9.7305,9.744,9.838000000000001,10.490499999999999,10.626999999999999,10.633,9.717,10.639
246,10.19209090909091,10.155,0.3872863164495888,9.7225,9.725999999999999,9.8195,10.5145,10.577,10.681999999999999,9.719,10.786999999999999
247,10.23990909090909,10.23,0.4470443947854518,9.604,9.801,10.043,10.433,10.807,10.8995,9.407,10.991999999999999
248,10.170181818181817,10.078999999999999,0.5012298511026289,9.5515,9.686,9.8275,10.5625,10.87,10.911,9.417,10.952
249,10.273363636363635,10.219999999999999,0.4227922120208159,9.642499999999998,9.822,10.060500000000001,10.6615,10.722999999999999,10.776,9.463,10.828999999999999
250,10.308636363636364,10.386,0.41383046594644846,9.6615,9.767,10.0635,10.5235,10.728,10.8265,9.556,10.924999999999999
251,10.339,10.475999999999999,0.4058258247080882,9.711500000000001,9.898,10.0765,10.594999999999999,10.616,10.7635,9.525,10.911
252,10.31409090909091,10.392,0.2452286502615282,9.939499999999999,9.983,10.134,10.524000000000001,10.538,10.557500000000001,9.895999999999999,10.577
253,10.351090909090908,10.385,0.316064377792074,9.888,10.035,10.131499999999999,10.560500000000001,10.711,10.7455,9.741,10.78
254,10.287181818181818,10.257,0.3916600102593622,9.806,9.908999999999999,9.975999999999999,10.5885,10.754,10.8355,9.703,10.917
255,10.322909090909091,10.451,0.3712049176790241,9.780999999999999,9.788,10.046,10.5015,10.625,10.777000000000001,9.774,10.929
256,10.310545454545455,10.424,0.38690085645714556,9.6815,9.875,10.131,10.552499999999998,10.68,10.704,9.488,10.728
257,10.350727272727273,10.468,0.5533693325273982,9.475,9.927,10.132,10.6505,10.825,10.936,9.023,11.047
258,10.302545454545454,10.531,1.0746329944345054,8.6095,9.951,10.3315,10.761,10.956999999999999,11.1695,7.268000000000001,11.382
259,10.214545454545455,10.397,0.9177335521420542,8.825,9.964,10.138,10.565,10.636,11.0135,7.686,11.391
260,10.335272727272727,10.507,0.6990729705701818,9.293,10.028,10.114999999999998,10.705,10.936,11.088000000000001,8.558,11.24
261,10.522818181818181,10.703999999999999,0.3801041484072013,9.992999999999999,10.016,10.193999999999999,10.8585,10.874,10.933,9.969999999999999,10.991999999999999
262,10.550818181818181,10.529,0.32560246257724107,10.167,10.195,10.268999999999998,10.829,10.956,10.957999999999998,10.139,10.959999999999999
